dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
0,-7.733100037,2,200.23,0.008620717,5.36E-05,-0.006050018,222.9385608,1.795427946,1.467633478
0.059094472,-6.299195356,2,216.591,0.000235546,2.83E-05,-0.145097678,184.4105148,0,0.301899178
0,-5.064774049,2,232.652,0.003778626,6.21E-05,-0.050887024,241.0012463,0.076766714,0
0.002496766,-4.546635735,2,279.563,0.002077567,2.36E-05,-0.089317868,265.64355,0,0
0,-4.166550372,2,328.192,0.003657144,3.18E-05,-0.038275186,300.7643107,0.124035437,0.1558428
0,-7.13838918,2,189.739595,0.002331048,7.89E-05,0.14380541,257.0215721,0.809945857,0.684544321
0,-10.15071249,2,128.825,1.07E-13,0.000533645,0.482643753,166.0443723,0.62424372,0.615540289
0,-7.756570662,2,145.791762,0.000825699,3.24E-05,0.185714669,238.4293531,1.07402767,1.063679713
0,-6.694740985,2,236.578,0.003322982,3.11E-05,0.237129507,296.8064323,0.713769236,0.471001869
0,-10.56814465,2,223.199,0.001641062,0.000173099,-0.842572327,178.0156472,1.869946998,1.700188197
0,-8.52431194,2,239.26,0.007694068,9.61E-05,-0.34365597,221.8913278,2.087750759,1.833015657
0,-7.981909308,2,286.171,0.006858685,5.55E-05,-0.369954654,238.1044563,1.91529182,1.517935993
0,-7.41686496,2,334.8,0.00709536,5.40E-05,-0.22643248,269.8996333,1.666777076,0.910058739
0,-11.13475056,2,134.709,0.009780658,0.000174275,-0.97737528,154.8669251,1.679718424,1.674538832
0,-8.817616218,2,150.77,0.007533317,5.37E-05,-0.341808109,200.6233715,2.313442582,2.287925386
0,-8.207875735,2,197.681,0.009203418,3.34E-05,-0.334437868,218.8291101,2.229408636,2.151801719
0,-7.580468192,2,246.31,0.009639532,4.16E-05,-0.159734096,251.515183,1.906419725,1.55758105
0,-11.09415776,3,186.885595,0.00942554,0.000119233,-0.256052588,233.3713394,1.459698552,1.387317362
0,-11.58234905,3,142.431595,0.007404695,0.000120693,-0.352116349,225.031106,1.556410116,1.535124659
0,-10.61383063,3,233.796595,0.002281241,2.34E-05,-0.294276877,245.9204098,1.287627616,1.228199692
0,-11.07629442,3,189.342595,0.006711246,6.55E-05,-0.381764808,238.2868951,1.45244217,1.37370083
0,-10.10363302,3,280.797065,0.00543373,8.61E-05,-0.159877675,261.3883061,1.330276532,1.152030854
0,-10.54216341,3,233.886065,0.003926133,8.58E-05,-0.107721136,249.4959347,1.608009065,1.337549698
0,-10.18612706,3,282.425595,0.002741156,4.04E-05,-0.244375687,267.8194595,1.404818802,1.237800322
0,-10.61836226,3,237.971595,0.006226213,5.31E-05,-0.321787419,260.7656816,1.667628434,1.478980538
0,-9.718046895,3,329.426065,0.005919638,3.09E-05,-0.124015632,282.1772076,1.253415754,0.983807626
0,-12.00877035,3,320.9444,0.00723769,9.05E-05,-0.557256784,284.8881611,1.759691078,0.929477414
0,-12.51150148,3,276.4904,0.009248264,0.000185192,-0.658167159,279.4971177,1.779984755,1.037662199
0,-11.48943572,3,367.8554,0.003975998,7.70E-05,-0.582478572,296.2738603,1.55370503,0.769793345
0,-11.98504958,3,323.4014,0.004504115,5.99E-05,-0.681016527,290.2903907,1.64216213,0.884781349
0,-10.96395271,3,414.85587,0.007439553,8.99E-05,-0.442984238,308.2570318,1.630338568,0.648133833
0,-11.46676037,3,367.94487,0.006227065,3.33E-05,-0.412253456,296.9047809,1.923300064,0.819868117
0,-10.97533754,3,416.4844,0.004217255,2.43E-05,-0.503779179,318.5622528,1.5940296,0.629903724
0,-11.45769103,3,372.0304,0.004782411,4.47E-05,-0.597897008,312.7782417,1.769856211,0.636788367
0,-10.46970884,3,463.48487,0.001818817,2.18E-05,-0.370902947,330.2055815,1.501908539,0.450713166
0,-11.31533224,3,233.724,0.001475146,7.28E-05,-0.415444078,268.6564312,1.363864975,1.219742456
0,-11.80167169,3,189.27,0.005788791,0.000168889,-0.510890565,262.5326764,1.403167779,1.318255478
0,-10.80571664,3,280.635,0.005522269,6.72E-05,-0.443905547,280.5571812,1.191366626,1.071738666
0,-11.28552356,3,236.181,0.005742889,3.81E-05,-0.537174519,274.552043,1.308090703,1.17354892
0,-10.30489713,3,327.63547,0.006576969,7.17E-05,-0.312632378,293.3508953,1.279093288,1.015895313
0,-10.79812978,3,280.72447,0.004148634,4.53E-05,-0.278709925,281.5730722,1.564679199,1.22311206
0,-10.3267316,3,329.264,0.006950188,3.75E-05,-0.376910533,302.9140678,1.311164721,1.055324678
0,-10.79492743,3,284.81,0.004010374,1.61E-05,-0.466309142,297.1172764,1.531705564,1.258001046
0,-9.840153025,3,376.26447,0.004529726,1.58E-05,-0.250384342,314.8957319,1.172307537,0.844040871
0.834197161,-19.15006871,3,514.5804,0.003370424,7.25E-05,0.471643765,191.5477693,0,0
0.694044594,-13.11638728,3,390.64847,0.006403465,0.000126206,0.47720424,203.0586865,0,0
0,-18.54739298,3,390.411,0.006109736,9.31E-05,-0.124797661,193.7049846,0.074699859,0
1.028872037,-20.4070353,3,294.871,0.005377575,5.13E-05,-0.453678434,177.8352972,0,0
1.202530691,-17.4431006,3,375.125995,0.002738093,3.01E-05,-0.234366865,225.8158202,0,0
1.095436693,-17.11172437,3,287.905595,0.003760266,3.10E-05,-0.213241456,218.9723803,0,0
0.510292273,-14.99575154,3,206.578,0.004427693,6.36E-05,-1.407583845,197.2552243,0,0
0.623722978,-13.39925427,3,298.03247,0.003516841,3.55E-05,-0.977751425,224.6882604,0,0
0.100088081,-17.47897925,3,297.795,0.004509325,3.61E-05,-1.129326418,254.7324651,0,0
0,-19.39882442,3,202.255,0.002728917,7.38E-05,-1.478274806,235.8995121,0.733413413,0.613216898
0.079881443,-18.4120245,3,250.884,0.003267623,3.29E-05,-1.242008166,246.9787022,0,0
0,-17.80383091,3,335.898095,0.003726737,0.000153594,0.314056363,183.9079045,0.065443498,0.034657502
1.80640408,-17.88796728,3,248.677695,0.009223924,0.000129672,0.196677573,166.0558816,0,0
0.787840607,-17.87383316,3,248.677695,0.00182937,0.000250286,0.201388948,166.0301171,0,0
1.844525894,-17.2882081,3,382.7365,0.005404569,0.000303664,0.400263967,185.6571486,0,0
3.679979666,-15.13687271,3,167.3501,0.00545713,0.000197295,-0.785957571,236.8102083,0,0
0.988823996,-16.61913182,3,258.5671,0.005982407,0.000220962,-0.174043939,189.5818245,0,0
0.263715324,-18.24298272,3,163.0271,0.002748865,0.000260063,-0.424327574,166.7839021,0,0
0.223634306,-17.43512541,3,211.6561,0.002642239,0.000210892,-0.24770847,183.5279134,0,0
